- Starting CustomerProcessingApplication on MCKD-TRNG60-46 with PID 7744 (D:\customer\Customer-Data-Processing-and-report-generator-java-config-\target\classes started by comviva in D:\customer\Customer-Data-Processing-and-report-generator-java-config-)
- No active profile set, falling back to default profiles: default
- Started CustomerProcessingApplication in 6.616 seconds (JVM running for 8.085)
- Customer with phone number 0 ------->Registration Status : Failed.
- Customer with phone number 1 ------->Registration Status : Failed.
- Customer with phone number 2 ------->Registration Status : Failed.
- Customer with phone number 3 ------->Registration Status : Failed.
- Customer with phone number 4 ------->Registration Status : Failed.
- Customer with phone number 5 ------->Registration Status : Failed.
- Customer with phone number 6 ------->Registration Status : Failed.
- Customer with phone number 7 ------->Registration Status : Failed.
- Customer with phone number 8 ------->Registration Status : Failed.
- Customer with phone number 9 ------->Registration Status : Failed.
- Customer with phone number 10 ------->Registration Status : Failed.
- Customer with phone number 11 ------->Registration Status : Failed.
- Customer with phone number 12 ------->Registration Status : Failed.
- Customer with phone number 13 ------->Registration Status : Failed.
- Customer with phone number 14 ------->Registration Status : Failed.
- Customer with phone number 15 ------->Registration Status : Failed.
- Customer with phone number 16 ------->Registration Status : Failed.
- Customer with phone number 17 ------->Registration Status : Failed.
- Customer with phone number 18 ------->Registration Status : Failed.
- Customer with phone number 19 ------->Registration Status : Failed.
- Customer with phone number 20 ------->Registration Status : Failed.
- Customer with phone number 21 ------->Registration Status : Failed.
- Customer with phone number 22 ------->Registration Status : Failed.
- Customer with phone number 23 ------->Registration Status : Failed.
- Customer with phone number 24 ------->Registration Status : Failed.
- Customer with phone number 25 ------->Registration Status : Failed.
- Customer with phone number 26 ------->Registration Status : Failed.
- Customer with phone number 27 ------->Registration Status : Failed.
- Customer with phone number 28 ------->Registration Status : Failed.
- Customer with phone number 29 ------->Registration Status : Failed.
- Customer with phone number 30 ------->Registration Status : Failed.
- Customer with phone number 31 ------->Registration Status : Failed.
- Customer with phone number 32 ------->Registration Status : Failed.
- Customer with phone number 33 ------->Registration Status : Failed.
- Customer with phone number 34 ------->Registration Status : Failed.
- Customer with phone number 35 ------->Registration Status : Failed.
- Customer with phone number 36 ------->Registration Status : Failed.
- Customer with phone number 37 ------->Registration Status : Failed.
- Customer with phone number 38 ------->Registration Status : Failed.
- Customer with phone number 39 ------->Registration Status : Failed.
- Customer with phone number 40 ------->Registration Status : Failed.
- Customer with phone number 41 ------->Registration Status : Failed.
- Customer with phone number 42 ------->Registration Status : Failed.
- Customer with phone number 43 ------->Registration Status : Failed.
- Customer with phone number 44 ------->Registration Status : Failed.
- Customer with phone number 45 ------->Registration Status : Failed.
- Customer with phone number 46 ------->Registration Status : Failed.
- Customer with phone number 47 ------->Registration Status : Failed.
- Customer with phone number 48 ------->Registration Status : Failed.
- Customer with phone number 49 ------->Registration Status : Failed.
- Customer with phone number 50 ------->Registration Status : Failed.
- Customer with phone number 51 ------->Registration Status : Failed.
- Customer with phone number 52 ------->Registration Status : Failed.
- Customer with phone number 53 ------->Registration Status : Failed.
- Customer with phone number 54 ------->Registration Status : Failed.
- Customer with phone number 55 ------->Registration Status : Failed.
- Customer with phone number 56 ------->Registration Status : Failed.
- Customer with phone number 57 ------->Registration Status : Failed.
- Customer with phone number 58 ------->Registration Status : Failed.
- Customer with phone number 59 ------->Registration Status : Failed.
- Customer with phone number 60 ------->Registration Status : Failed.
- Customer with phone number 61 ------->Registration Status : Failed.
- Customer with phone number 62 ------->Registration Status : Failed.
- Customer with phone number 63 ------->Registration Status : Failed.
- Customer with phone number 64 ------->Registration Status : Failed.
- Customer with phone number 65 ------->Registration Status : Failed.
- Customer with phone number 66 ------->Registration Status : Failed.
- Customer with phone number 67 ------->Registration Status : Failed.
- Customer with phone number 68 ------->Registration Status : Failed.
- Customer with phone number 69 ------->Registration Status : Failed.
- Customer with phone number 70 ------->Registration Status : Failed.
- Customer with phone number 71 ------->Registration Status : Failed.
